Chief wally,~
Speks,@
Situm,@
Claerina,+
Lionyx,~
Panur,~
Theorisme,@
Staxi,@
Draha022,@
blazingdark,+
jordan94,&
zenadark,%
profdesinnoh,%
wcjay,%
kaideos,+
pokejox,+
yarti,+
LeafeonM,&
